genre,age_group,popularity,producer
Adventure,26-35,407,Manga
Comedy,26-35,2296,Manga
Action,26-35,3299,Visual novel
Comedy,26-35,4585,Manga
Action,26-35,3304,Original
Action,26-35,2343,Manga
Sci-Fi,26-35,1590,Original
Romance,26-35,2370,Visual novel
Ecchi,26-35,2722,Manga
Action,26-35,545,Manga
Action,26-35,70,Manga
Comedy,26-35,2391,Manga
Comedy,26-35,3262,Manga
Adventure,26-35,1421,Original
Comedy,26-35,797,Manga
Action,26-35,770,Visual novel
Adventure,26-35,1391,Original
Adventure,26-35,725,Original
Comedy,26-35,1455,Light novel
Action,26-35,1491,Manga
Adventure,26-35,1508,Original
Action,26-35,2790,Manga
Action,26-35,2155,Visual novel
Action,26-35,908,Original
Adventure,26-35,1473,Original
Adventure,26-35,5169,Manga
Sci-Fi,26-35,2703,Manga
Sci-Fi,26-35,5307,Original
Action,26-35,3077,Original
Adventure,26-35,2558,Original
Action,26-35,5911,Original
Action,26-35,5611,Original
Action,26-35,5845,Original
Action,26-35,5959,Original
Action,26-35,565,Original
Action,26-35,5174,Manga
Action,26-35,1651,Manga
Sci-Fi,26-35,1519,Manga
Action,26-35,1059,Light novel
Action,26-35,666,Manga
Mecha,26-35,1187,Manga
Drama,26-35,2459,Manga
Comedy,26-35,4447,Unknown
Action,26-35,371,Game
Action,26-35,3635,Light novel
Comedy,26-35,4324,Unknown
Action,26-35,630,Novel
Action,26-35,1496,Visual novel
Action,26-35,4080,Manga
Action,26-35,523,Manga
Adventure,26-35,2066,Light novel
Adventure,26-35,5843,Unknown
Mystery,26-35,1620,Light novel
Comedy,26-35,2237,Manga
Action,26-35,463,Original
Comedy,26-35,2483,Manga
Action,26-35,5362,Original
Action,26-35,1452,Original
Adventure,26-35,100,Light novel
Comedy,26-35,1185,Manga
Comedy,26-35,1192,Light novel
Sci-Fi,26-35,186,Manga
Action,26-35,1895,Manga
Comedy,26-35,3644,Novel
Action,26-35,2387,Original
Drama,26-35,389,Visual novel
Action,26-35,841,Original
Action,26-35,755,Manga
Action,26-35,905,Original
Sci-Fi,26-35,860,Original
Action,26-35,636,Light novel
Action,26-35,2234,Original
Adventure,26-35,1776,Game
Action,26-35,947,Manga
Action,26-35,1657,Novel
Action,26-35,764,Game
Action,26-35,909,Game
Action,26-35,552,Manga
Adventure,26-35,3435,Manga
Comedy,26-35,716,Original
Action,26-35,1684,Light novel
Mystery,26-35,1507,Manga
Action,26-35,448,Light novel
Slice of Life,26-35,942,Novel
Action,26-35,1052,Original
Action,26-35,1643,Game
Slice of Life,26-35,387,Original
Adventure,26-35,1275,Original
Adventure,26-35,773,Original
Action,26-35,1152,Manga
Action,26-35,330,Novel
Action,26-35,1987,Original
Action,26-35,1443,Manga
Mystery,26-35,494,Light novel
Sci-Fi,26-35,479,Game
Action,26-35,784,Manga
Sci-Fi,26-35,114,Novel
Action,26-35,2030,Manga
Action,26-35,1283,Manga
